date,return,cumulative
2025-09-24,0.0,0.6407952886914337
2025-09-25,0.0,0.6407952886914337
2025-09-26,0.0,0.6407952886914337
2025-09-27,0.0,0.6407952886914337
2025-09-28,0.0,0.6407952886914337
2025-09-29,0.0,0.6407952886914337
2025-09-30,0.0,0.6407952886914337
2025-10-01,-0.010281453629258142,0.6239255280156475
2025-10-02,0.0,0.6239255280156475
2025-10-03,0.0,0.6239255280156475
2025-10-04,-0.0002959346415334352,0.6234449521966372
2025-10-05,0.0,0.6234449521966372
2025-10-06,0.0,0.6234449521966372
2025-10-07,0.0,0.6234449521966372
2025-10-08,0.0,0.6234449521966372
2025-10-09,0.02930620223225544,0.6710219582786461
2025-10-10,0.0,0.6710219582786461
2025-10-11,0.0,0.6710219582786461
2025-10-12,0.0,0.6710219582786461
